frameIndex,box2d.x1,box2d.x2,box2d.y1,box2d.y2
0,0.0,223.0320699708455,544.7230320699708,718.9504373177843
0,1144.8275862068965,1278.8921282798835,482.798833819242,689.6551724137931
0,846.4723032069971,1244.256559766764,350.55393586005835,561.5160349854227
0,759.3586005830904,890.5539358600583,326.8023952095808,414.5772594752187
0,729.9708454810497,791.8950437317785,318.01749271137027,387.28862973760937
0,291.25364431486884,444.48979591836735,300.17492711370267,356.8513119533528
0,114.92711370262391,170.55393586005832,289.6793002915452,354.7521865889213
0,680.8263310556634,719.9999999999999,314.7957978209118,360.43113772455087
0,445.5393586005831,525.3061224489796,318.01749271137027,355.80174927113706
1,0.0,221.98250728862976,551.0204081632653,718.9504373177843
1,1141.399416909621,1278.8921282798835,485.94752186588926,699.0087463556852
1,845.4227405247814,1250.5539358600583,347.930029154519,564.66472303207
1,759.3586005830904,890.5539358600583,325.5586320071228,414.57725947521874
1,729.9708454810497,790.8454810495627,318.01749271137027,387.28862973760937
1,291.25364431486884,443.4402332361517,300.17492711370267,360.0
1,114.92711370262391,170.55393586005832,291.7784256559767,354.7521865889213
1,679.7151244938631,718.4256559766762,313.42071652589453,360.6372793771058
1,439.24198250728864,525.3061224489796,318.01749271137027,355.80174927113706
2,0.0,189.4460641399417,570.9620991253645,718.9504373177843
2,1152.9446064139945,1278.8921282798835,500.6413994169096,692.7113702623907
2,847.5218658892129,1256.851311953353,345.30612244897964,567.8134110787172
2,759.3586005830904,890.5539358600583,324.31486880466474,414.5772594752187
2,729.9708454810497,789.795918367347,318.01749271137027,387.28862973760937
2,284.9562682215744,439.24198250728864,299.1253644314869,360.0
2,94.98542274052478,168.45481049562684,293.8775510204082,362.09912536443153
2,678.6039179320628,716.8513119533528,312.04563523087734,360.8434210296608
2,439.24198250728864,522.1574344023323,315.9183673469388,355.80174927113706
3,0.0,178.95043731778426,581.4577259475219,718.9504373177843
3,1158.1924198250729,1278.8921282798835,500.6413994169096,692.7113702623907
3,848.5714285714287,1263.1486880466473,345.30612244897964,569.9125364431487
3,758.8338192419826,890.5539358600583,324.31486880466474,414.5772594752187
3,729.9708454810497,789.795918367347,318.01749271137027,384.1399416909621
3,284.9562682215744,439.24198250728864,299.1253644314869,354.7521865889213
3,88.68804664723032,162.15743440233237,293.8775510204082,357.9008746355685
3,677.4927113702624,715.2769679300292,310.6705539358601,361.04956268221576
3,439.24198250728864,522.1574344023323,315.9183673469388,355.80174927113706
