frameIndex,box2d.x1,box2d.x2,box2d.y1,box2d.y2
0,186.29737609329447,696.3848396501459,230.9037900874636,477.5510204081633
0,974.5189504373178,1279.4169096209914,207.8134110787172,452.3615160349855
0,732.0699708454811,904.8275862068966,335.17241379310343,458.6588921282799
0,699.533527696793,762.5072886297377,348.4548104956268,462.8571428571429
0,169.07617504051862,201.2317666126418,405.5753646677471,467.8119935170178
0,691.8638573743922,703.2739059967585,369.2706645056726,380.68071312803886
1,188.39650145772595,696.3848396501459,230.9037900874636,477.5510204081633
1,996.5597667638484,1279.4169096209914,256.0932944606414,403.0320699708455
1,743.6151603498542,902.0991253644316,337.9591836734694,425.0728862973761
1,696.3848396501459,753.0612244897959,351.60349854227405,425.0728862973761
1,157.66612641815234,204.34359805510533,405.5753646677471,470.92382495948135
1,687.7147487844408,703.2739059967585,369.2706645056726,388.97893030794165
2,211.48688046647231,696.3848396501459,234.0524781341108,458.6588921282799
2,972.4198250728864,1279.4169096209914,214.11078717201167,458.6588921282799
2,718.4256559766765,903.1486880466472,335.8600583090379,443.9650145772595
2,694.2857142857143,753.0612244897959,351.60349854227405,441.865889212828
2,99.57860615883304,217.8282009724473,370.3079416531604,459.5137763371151
2,684.6029173419773,703.2739059967585,369.2706645056726,388.97893030794165
3,218.83381924198247,696.3848396501459,240.34985422740527,454.46064139941694
3,972.4198250728864,1279.4169096209914,214.11078717201167,456.5597667638484
3,737.3177842565598,906.2973760932944,335.8600583090379,446.064139941691
3,685.8892128279883,753.0612244897959,351.60349854227405,441.865889212828
3,42.52836304700162,228.20097244732577,366.2973760932945,459.5137763371151
3,681.4910858995138,703.2739059967585,365.1215559157212,388.97893030794165
4,221.98250728862976,691.137026239067,239.3002915451895,453.4110787172012
4,972.4198250728864,1279.4169096209914,216.2099125364432,456.5597667638484
4,730.6705539358601,906.2973760932944,335.8600583090379,445.7142857142857
4,685.8892128279883,754.1107871720117,350.55393586005835,441.865889212828
4,1.037277147487856,237.5364667747164,364.0842787682334,458.4764991896273
4,677.3419773095624,703.2739059967585,366.158833063209,391.0534846029173
5,235.86206896551724,688.2758620689656,238.6206896551724,448.16326530612247
5,972.4198250728864,1279.067055393586,216.2099125364432,456.5597667638484
5,724.0233236151604,906.2973760932944,335.8600583090379,445.3644314868805
5,681.6909620991254,754.1107871720117,350.55393586005835,441.865889212828
5,1.037277147487856,242.7228525121556,360.97244732576985,463.6628849270664
5,671.1183144246353,703.2739059967585,369.2706645056726,396.23987034035656
6,241.9241982507289,689.0379008746356,245.597667638484,448.16326530612247
6,972.4198250728864,1278.717201166181,216.2099125364432,456.5597667638484
6,717.3760932944607,906.2973760932944,335.8600583090379,445.0145772594752
6,676.4431486880467,754.1107871720117,350.55393586005835,441.865889212828
6,1.037277147487856,227.1636952998379,355.7860615883306,463.6628849270664
6,227.1636952998379,255.1701782820097,387.94165316045377,442.9173419773096
